Year,Month,Sales(In ThousandDollars),ProductCategory_MenClothing,ProductCategory_OtherClothing,ProductCategory_WomenClothing
2012,12,4824.0,False,False,True
2012,12,1080.0,True,False,False
2012,12,1475.0,False,True,False
2013,1,2320.0,False,False,True
2013,1,599.0,True,False,False
2013,1,1036.0,False,True,False
2013,2,2872.0,False,False,True
2013,2,560.0,True,False,False
2013,2,1144.0,False,True,False
2013,3,3687.0,False,False,True
2013,3,682.0,True,False,False
2013,3,1346.0,False,True,False
2013,4,3883.0,False,False,True
2013,4,718.0,True,False,False
2013,4,1188.0,False,True,False
2013,5,4170.0,False,False,True
2013,5,749.0,True,False,False
2013,5,1194.0,False,True,False
2013,6,3360.0,False,False,True
2013,6,678.0,True,False,False
2013,6,1261.0,False,True,False
2013,7,3320.0,False,False,True
2013,7,648.0,True,False,False
2013,7,1126.0,False,True,False
2013,8,3539.0,False,False,True
2013,8,687.0,True,False,False
2013,8,1311.0,False,True,False
2013,9,3720.0,False,False,True
2013,9,681.0,True,False,False
2013,9,1043.0,False,True,False
2013,10,3590.0,False,False,True
2013,10,785.0,True,False,False
2013,10,1041.0,False,True,False
2013,11,3834.0,False,False,True
2013,11,798.0,True,False,False
2013,11,1209.0,False,True,False
2013,12,4865.0,False,False,True
2013,12,1085.0,True,False,False
2013,12,1566.0,False,True,False
